run,task,target,model,repeat,sessions,errors,findings,matched_seeds,seeds,recall,extras,tokens_in,tokens_out,cache_read,duration_s,found_per_mtok
20260820-114343,design,design,claude,1,2,0,37,20,34,0.59,0,4295,27695,94952,412,625.2
20260820-115829,design,design,codex,1,2,0,24,13,34,0.38,0,67073,13956,48128,342,160.44
20260820-122943,design,design,x-ai/grok-4.6,1,2,0,18,11,34,0.32,0,72023,31279,63744,633,106.48
20260820-132657,design,design,qwen/qwen3.8-27b,1,2,0,31,15,34,0.44,0,10128,72511,85972,1108,181.51
20260820-134406,design,design,qwen/qwen3.8-max,1,2,0,29,19,34,0.56,0,4144,37773,133029,862,453.28
20260828-092635,design,design,glm-5.3-flash:cloud,1,2,0,23,11,34,0.32,0,234819,16561,0,162,43.76
20260831-155457,design,design,glm-5.3:cloud,1,2,0,22,14,34,0.41,0,217871,21310,0,288,58.53
20260831-200142,code,rust,claude,1,3,0,67,53,64,0.83,0,5858,41817,235461,589,1111.69
20260901-011739,code,java,claude,1,3,0,67,52,69,0.75,4,15371,46831,181261,576,835.99
20260901-012221,code,typescript,claude,1,3,0,70,55,63,0.87,4,5862,33637,199798,430,1392.44
20260901-012540,code,csharp,claude,1,3,0,72,51,68,0.75,5,5816,38295,239083,500,1156.17
20260901-012859,code,cpp,claude,1,3,0,71,51,64,0.80,4,5800,37447,263990,498,1179.27
20260901-013218,code,python,claude,1,3,0,71,51,66,0.77,2,5781,35893,198750,464,1223.78
20260901-013527,code,rust,codex,1,3,0,44,36,64,0.56,4,239104,22027,179712,817,137.86
20260901-014048,code,java,codex,1,3,0,60,44,69,0.64,7,220676,30286,170496,1115,175.33
20260901-014824,code,typescript,codex,1,3,0,50,41,63,0.65,5,171381,23844,132096,882,210.01
20260901-015619,code,csharp,codex,1,3,0,59,44,68,0.65,7,176086,26098,129024,962,217.62
20260901-020312,code,cpp,codex,1,3,0,56,42,64,0.66,9,231624,29884,168448,1108,160.61
20260901-021107,code,python,codex,1,3,0,48,39,66,0.59,5,187462,23136,147200,985,185.19
20260901-101125,design,design,minimax-m3:cloud,1,2,0,21,13,34,0.38,0,159694,21176,0,397,71.87
20260901-101312,code,rust,qwen/qwen3.8-max,1,3,0,57,44,64,0.69,3,5573,68873,314631,1888,591.03
20260901-101516,code,rust,minimax-m3:cloud,1,3,0,37,28,64,0.44,3,705322,37161,0,551,37.71
20260901-101942,code,java,minimax-m3:cloud,1,3,0,49,37,69,0.54,8,769872,36608,0,588,45.88
20260901-102418,code,typescript,minimax-m3:cloud,1,3,0,39,31,63,0.49,2,422045,30655,0,585,68.48
20260901-102651,code,java,qwen/qwen3.8-max,1,3,0,52,44,69,0.64,3,5621,54212,278964,1560,735.38
20260901-102841,code,csharp,minimax-m3:cloud,1,3,0,42,31,68,0.46,8,833603,31579,0,663,35.83
20260901-103306,code,cpp,minimax-m3:cloud,1,3,0,53,38,64,0.59,5,631870,21379,0,447,58.17
20260901-103651,code,python,minimax-m3:cloud,1,3,1,23,20,66,0.30,3,515646,55073,0,967,35.04
20260901-103658,code,typescript,qwen/qwen3.8-max,1,3,0,56,47,63,0.75,0,5555,47886,184630,1270,879.47
20260901-104542,code,csharp,qwen/qwen3.8-max,1,3,0,55,43,68,0.63,4,5522,54523,187870,1532,716.13
20260901-105718,code,cpp,qwen/qwen3.8-max,1,3,0,61,49,64,0.77,3,5522,62997,209286,1884,715.13
20260901-105859,code,python,minimax-m3:cloud,2,3,0,52,36,66,0.55,6,999211,39859,0,704,34.65
20260901-111032,code,python,qwen/qwen3.8-max,1,3,0,65,48,66,0.73,5,5513,50392,237728,1255,858.6
20260901-112249,code,rust,qwen/qwen3.8-27b,1,3,0,46,35,64,0.55,3,217657,90125,448544,1612,113.72
20260901-112551,design,design,deepseek-v4-pro:cloud,1,2,0,25,15,34,0.44,0,220647,25372,0,143,60.97
20260901-112712,code,rust,deepseek-v4-pro:cloud,1,3,0,42,33,64,0.52,2,449928,54543,0,353,65.42
20260901-112937,code,java,deepseek-v4-pro:cloud,1,3,0,53,42,69,0.61,3,400062,52774,0,307,92.75
20260901-113159,code,typescript,deepseek-v4-pro:cloud,1,3,0,47,40,63,0.63,0,273676,41424,0,236,126.94
20260901-113346,code,csharp,deepseek-v4-pro:cloud,1,3,0,42,35,68,0.51,3,399352,50374,0,273,77.83
20260901-113347,code,java,qwen/qwen3.8-27b,1,3,0,61,47,69,0.68,3,237410,80422,78400,1557,147.88
20260901-113537,code,cpp,deepseek-v4-pro:cloud,1,3,0,49,38,64,0.59,1,400840,45506,0,476,85.14
20260901-113851,code,python,deepseek-v4-pro:cloud,1,3,0,44,38,66,0.58,2,393982,45738,0,267,86.42
20260901-114401,code,typescript,qwen/qwen3.8-27b,1,3,0,55,44,63,0.70,0,252923,69443,68992,1599,136.49
20260901-115508,code,csharp,qwen/qwen3.8-27b,1,3,0,59,43,68,0.63,6,136948,89189,180320,1616,190.15
20260901-120618,code,cpp,qwen/qwen3.8-27b,1,3,0,67,50,64,0.78,2,271849,82204,245632,1442,141.22
20260901-121536,code,python,qwen/qwen3.8-27b,1,3,0,51,42,66,0.64,2,130515,63535,87808,1313,216.44
20260901-122250,code,rust,glm-5.3:cloud,1,3,0,50,39,64,0.61,1,635358,29089,0,351,58.7
20260901-122508,code,java,glm-5.3:cloud,1,3,0,59,49,69,0.71,2,799199,41666,0,376,58.27
20260901-122732,code,typescript,glm-5.3:cloud,1,3,0,50,42,63,0.67,1,537276,24136,0,334,74.81
20260901-122743,code,rust,x-ai/grok-4.6,1,3,0,44,38,64,0.59,3,147039,70776,106752,1222,174.46
20260901-122934,code,csharp,glm-5.3:cloud,1,3,0,59,44,68,0.65,6,444070,33722,0,271,92.09
20260901-123111,code,cpp,glm-5.3:cloud,1,3,0,49,38,64,0.59,4,673363,27934,0,351,54.19
20260901-123329,code,python,glm-5.3:cloud,1,3,0,64,48,66,0.73,3,573196,33791,0,285,79.08
20260901-123553,code,java,x-ai/grok-4.6,1,3,0,44,38,69,0.55,1,104476,60820,106752,1054,229.89
20260901-124451,code,typescript,x-ai/grok-4.6,1,3,0,49,41,63,0.65,2,103493,55805,104192,951,257.38
20260901-125240,code,csharp,x-ai/grok-4.6,1,3,0,44,37,68,0.54,5,128654,50427,48128,884,206.61
20260901-125819,code,cpp,x-ai/grok-4.6,1,3,0,46,39,64,0.61,2,105521,59103,105216,1051,236.9
20260901-130756,code,python,x-ai/grok-4.6,1,3,0,45,41,66,0.62,1,156287,65152,80384,1251,185.15
20260901-132126,design,design,gemma4:31b-cloud,1,2,0,15,10,34,0.29,1,160580,11671,0,102,58.05
20260901-132227,code,rust,gemma4:31b-cloud,1,3,0,23,19,64,0.30,0,856625,19783,0,216,21.68
20260901-132356,code,java,gemma4:31b-cloud,1,3,0,35,30,69,0.43,2,305856,23003,0,182,91.22
20260901-132509,code,typescript,gemma4:31b-cloud,1,3,0,23,17,63,0.27,4,264078,19648,0,175,59.92
